businessName,businessStartDate,businessClass,latitude,longitude,recency
WALGREENS #07312,8/22/03,"2 - Auto, Restaurant, Retail",34.98764376,-85.28854772,0.568983957
BRAD'S AUTO SALVAGE & PARTS,8/1/15,"3 - Service, Misc",34.98764759,-85.310996,0.902215432
D & D AUTO SALVAGE,8/1/05,"2 - Auto, Restaurant, Retail",34.98764759,-85.310996,0.623223835
S & J  RESALE,12/1/14,"2 - Auto, Restaurant, Retail",34.98770449,-85.39081269,0.883651642
DANNY'S QUICK STOP,7/6/06,"1 - Gas, Grocery, Building Materials",34.98770449,-85.39081269,0.649121467
M B & A CONSULTING,11/3/05,"3 - Service, Misc",34.98774635,-85.16902544,0.630404889
XCEL ELECTRIC,8/14/08,4 - Contractor,34.98777085,-85.29356143,0.707944996
WAYNE POTTER,3/27/13,4 - Contractor,34.98779275,-85.27701471,0.836745607
J B TEXTILES INC,4/1/06,"3 - Service, Misc",34.98780239,-85.166346,0.641787624
"AUTO REPAIR ""LEO""",7/1/11,"3 - Service, Misc",34.98780609,-85.28698265,0.788235294
TIENDA LA BENDICION,9/22/10,"1 - Gas, Grocery, Building Materials",34.98780609,-85.28698265,0.766692131
TROY'S TRADING POST,8/22/09,"2 - Auto, Restaurant, Retail",34.98780609,-85.28698265,0.736440031
E C L CATERING SERVICE,7/1/92,"3 - Service, Misc",34.98782244,-85.32665159,0.258135982
MTC,1/1/12,4 - Contractor,34.98790974,-85.28939208,0.802291826
PRONTO PM & REPAIRS,5/1/10,"3 - Service, Misc",34.98790974,-85.28939208,0.755691367
B & B SERVICES,1/12/09,4 - Contractor,34.98790974,-85.28939208,0.719480519
BROCK MECHANICAL,10/1/07,4 - Contractor,34.98790974,-85.28939208,0.683651642
BELL ELECTRIC,8/7/06,4 - Contractor,34.98790974,-85.28939208,0.651566081
BROCK SERVICES,6/1/99,"3 - Service, Misc",34.98790974,-85.28939208,0.451107716
LEGALLY MEDICATED,6/5/15,"2 - Auto, Restaurant, Retail",34.98801912,-85.32430614,0.897860963
PARKERS DIRECT FLOORING INC,5/10/10,"2 - Auto, Restaurant, Retail",34.98805684,-85.28941944,0.756378915
GREENSTEPS,6/25/17,"3 - Service, Misc",34.98805799,-85.32539387,0.955233002
GOLDEN SHOWERS,1/1/17,"3 - Service, Misc",34.98806782,-85.28597241,0.941864018
TITLE MAX,11/2/05,"2 - Auto, Restaurant, Retail",34.9880975,-85.28847466,0.630328495
THE WOODSHOP REHEARSAL SPACE,2/2/17,"3 - Service, Misc",34.98817635,-85.3311244,0.944308633
LGM GRANT WRITING AND CONSULTING,2/1/16,"3 - Service, Misc",34.9882357,-85.26749797,0.916271963
ARNOLD HOMES & DESIGN LLC,10/1/05,4 - Contractor,34.98824602,-85.16672589,0.627883881
5519 GLENN FALLS STVR,9/1/18,"3 - Service, Misc, Short Term Rental",34.98825526,-85.33734136,0.988311688
GRIFFITH GARRY CYCLE,10/1/09,"2 - Auto, Restaurant, Retail",34.98827271,-85.28788112,0.739495798
OH MY! TILE GUY,4/24/17,4 - Contractor,34.98831681,-85.27064322,0.950496562
PRECISION SEALCOATING & STRIPING,3/21/12,4 - Contractor,34.98831816,-85.39030836,0.808403361
ALLURE VIDEO,5/2/08,"2 - Auto, Restaurant, Retail",34.98833443,-85.2886001,0.7
"ROSSVEGAS, LLC",1/28/16,"3 - Service, Misc",34.98835952,-85.28878416,0.915966387
MDT PERSONNEL LLC,9/2/10,"3 - Service, Misc",34.98835952,-85.28878416,0.765164248
ABLE BODY LABOR,4/5/04,"3 - Service, Misc",34.98835952,-85.28878416,0.586325439
"SMP CONSTRUCTION, LLC.",10/1/16,4 - Contractor,34.98838576,-85.33001318,0.934835752
MATERIAL DESIGN,2/1/16,"3 - Service, Misc",34.98838576,-85.33001318,0.916271963
TIENDA ELECTRONICA LA BENDICION,5/10/18,"2 - Auto, Restaurant, Retail",34.98840913,-85.28821336,0.97960275
"ADAMS AIR, LLC",3/1/13,4 - Contractor,34.98846068,-85.27603724,0.834759358
SCENIC AIR SOLUTIONS,2/1/12,4 - Contractor,34.98846068,-85.27603724,0.804660046
AARON BING-MILLINIEUM,5/27/15,"3 - Service, Misc",34.98846563,-85.28486426,0.897173415
SOLID 50'S GARAGE,5/20/17,"2 - Auto, Restaurant, Retail",34.98848289,-85.28818372,0.952482811
ROSE COTTAGE,1/1/18,"3 - Service, Misc, Short Term Rental",34.98848769,-85.33217861,0.969747899
MASONS MAINTENANCE & REPAIR,3/18/87,4 - Contractor,34.98848769,-85.33217861,0.110542399
GRANADOS TIRE,12/16/09,"3 - Service, Misc",34.98856578,-85.28766689,0.745301757
EMMITT & SONS LAWN CARE & MAINTENANCE,3/18/12,"3 - Service, Misc",34.98860033,-85.28609651,0.808174179
TIDY UP SERVICES,5/14/14,"3 - Service, Misc",34.98865245,-85.29177114,0.868296409
LAKEVIEW CAR CARE,9/23/13,"3 - Service, Misc",34.98865245,-85.29177114,0.850496562
WENDY'S #353,4/1/07,"2 - Auto, Restaurant, Retail",34.98866666,-85.28881137,0.669671505
MELISSA THE BOOKGIRL WATKINS,6/8/17,"3 - Service, Misc",34.98867511,-85.27759902,0.953934301
MADARIS DIGITAL IMAGES,11/17/11,"3 - Service, Misc",34.98869305,-85.27575015,0.798854087
MISSION COLLECTIVE LLC,9/1/15,"3 - Service, Misc",34.98870848,-85.33214518,0.904583652
ANN & SHAWNS EAT'S & TREATS,5/17/15,"2 - Auto, Restaurant, Retail",34.98881624,-85.30641573,0.896409473
PKS (POETIC KAMA SUTRA),1/1/16,"3 - Service, Misc",34.98886444,-85.27465251,0.913903743
TIENDA LA ESTRELLA,10/7/13,"1 - Gas, Grocery, Building Materials",34.98890135,-85.28778666,0.851566081
FRIENDS RESALE SHOP,4/20/08,"2 - Auto, Restaurant, Retail",34.98890135,-85.28778666,0.69908327
JUSTICE LAWN SERVICE,1/30/09,"3 - Service, Misc",34.98891827,-85.28455986,0.720855615
CASTILLO DRYWALL,12/4/11,4 - Contractor,34.98893196,-85.28297394,0.800152788
DONALD SMITH,3/8/16,4 - Contractor,34.98899029,-85.14227343,0.919022154
PILKRO CREATIVE,4/18/16,"3 - Service, Misc",34.9890131,-85.28411161,0.922154316
NEIGHBORHOOD GROCERY,9/19/01,"1 - Gas, Grocery, Building Materials",34.98909521,-85.31927214,0.515355233
LALOS HOME IMPROVEMENTS,1/10/14,4 - Contractor,34.98911974,-85.27354424,0.858823529
EL GALL GIRO GROCERY,2/27/18,"1 - Gas, Grocery, Building Materials",34.98915569,-85.28911807,0.974102368
EL GALLO GIRO RESTAURANT,8/8/17,"2 - Auto, Restaurant, Retail",34.98915569,-85.28911807,0.958594347
SANTA CRUZ VIDEO RECORDS,4/1/15,"3 - Service, Misc",34.98915569,-85.28911807,0.89289534
EL PAISANO RESTAURANT AND GROCERIES,5/3/14,"1 - Gas, Grocery, Building Materials",34.98915569,-85.28911807,0.867456073
CARROLL & SON LLC,7/1/10,"3 - Service, Misc",34.98922578,-85.27747984,0.760351413
ASHLEY WATKINS DOG TRAINING,1/1/11,"3 - Service, Misc",34.9892641,-85.28326951,0.774407945
FALCON HOME INSPECTIONS,6/9/17,"3 - Service, Misc",34.98929331,-85.27705287,0.954010695
EITRI & BROKK,2/15/17,"2 - Auto, Restaurant, Retail",34.98929331,-85.27705287,0.945301757
"ACCENT MOTOR COMPANY, LLC",2/15/18,"2 - Auto, Restaurant, Retail",34.98932791,-85.28772001,0.973185638
CITYWIDE TOWING LLC,2/20/12,"3 - Service, Misc",34.98932791,-85.28772001,0.806111536
CAN DO DREW,1/1/18,4 - Contractor,34.98933578,-85.33093862,0.969747899
TAYLOR MADE,2/20/04,"3 - Service, Misc",34.98939378,-85.32552957,0.582887701
RMT,4/30/18,"3 - Service, Misc, Short Term Rental",34.9894977,-85.2720004,0.978838808
HARDY'S-HUMBLE CREATION,6/12/15,"2 - Auto, Restaurant, Retail",34.98950452,-85.31147085,0.898395722
FLEET DETAIL,7/1/10,"3 - Service, Misc",34.98951021,-85.16506797,0.760351413
DCD VOICE AND DATA,3/1/12,"3 - Service, Misc",34.98951191,-85.28847219,0.806875477
DFM GROUP LLC,1/1/08,"3 - Service, Misc",34.98951191,-85.28847219,0.690679908
SALVADOR'S TREE MASTER,8/18/14,4 - Contractor,34.98955525,-85.28274865,0.875630252
AGUILAR'S HOUSE KEEPING,8/18/14,"3 - Service, Misc",34.98955525,-85.28274865,0.875630252
C.R.E.A.M MAGAZINE/ENT,4/1/13,"3 - Service, Misc",34.98956623,-85.29208021,0.837127578
CHATTANOOGA MILLWORKS,8/1/12,"1 - Gas, Grocery, Building Materials",34.98964568,-85.28220152,0.818563789
CONSUMER SERVICE COMPANY,3/1/87,"3 - Service, Misc",34.98969637,-85.28895117,0.109243697
FELIPE VELASQUEZ LANDSCAPING,6/1/16,4 - Contractor,34.98969832,-85.28368447,0.925515661
RESTORATIVE HAIR CARE/ AWESOME BRAIDS,1/1/18,"3 - Service, Misc, Short Term Rental",34.98971752,-85.30308004,0.969747899
H & R BLOCK,7/1/91,"3 - Service, Misc",34.98978361,-85.28950211,0.230175707
MAJESTIC VISIONS,4/30/10,"3 - Service, Misc",34.98978452,-85.3290377,0.755614973
ASHLEY SHOE & MORE,3/1/06,"2 - Auto, Restaurant, Retail",34.98979237,-85.32072611,0.639419404
FIRST CLASS CLEANING,6/6/17,"3 - Service, Misc",34.98979335,-85.3042991,0.953781513
PROGRESSIVE MARITIME SERVICES LLC,4/1/10,"3 - Service, Misc",34.98981973,-85.32935355,0.753399542
THE SYNERGY PROJECT LLC,11/1/18,"3 - Service, Misc, Short Term Rental",34.98986169,-85.32694245,0.992971734
CHATTANOOGA LIFESTYLE RENTALS LLC,4/6/18,"3 - Service, Misc, Short Term Rental",34.98986169,-85.32694245,0.977005348
"EQUIPMENT BUYER, LLC.",2/17/16,"2 - Auto, Restaurant, Retail",34.98986169,-85.32694245,0.91749427
MARCON SERVICES,10/15/06,"3 - Service, Misc",34.98988436,-85.31802972,0.65683728
JLA PROPERTIES,7/26/17,"3 - Service, Misc",34.9899073,-85.14597051,0.957601222
AK ROOFING & MORE LLC,12/31/16,4 - Contractor,34.9899073,-85.14597051,0.941787624
A K ROOFING & MORE,8/1/11,4 - Contractor,34.9899073,-85.14597051,0.790603514
AGNES AND DORA BY TAMARA,10/29/16,"2 - Auto, Restaurant, Retail",34.98991534,-85.14873698,0.93697479
CITY COLOR PAINTING,1/1/92,4 - Contractor,34.98991591,-85.33135788,0.244232238
319 THE LABEL,1/5/15,"3 - Service, Misc",34.98995773,-85.33171151,0.886325439
GREEN & CLEAN LAWN & PRESSURE WASHING,7/13/18,"3 - Service, Misc, Short Term Rental",34.99000327,-85.14900665,0.984491979
JOSEPHINE & TILLEY'S,1/12/09,"3 - Service, Misc",34.99008129,-85.16716573,0.719480519
JSR CONSTRUCTION INC,3/1/17,4 - Contractor,34.99024946,-85.14283025,0.946371276
MJP PROPERTY MANAGEMENT INC,1/17/17,"3 - Service, Misc",34.99024946,-85.14283025,0.943086325
RDM RECYCLING,1/18/13,"2 - Auto, Restaurant, Retail",34.99028938,-85.38910945,0.831550802
RICO MONUMENTS LLC,1/1/16,"2 - Auto, Restaurant, Retail",34.99036574,-85.2895074,0.913903743
EMELY BEAUTY SUPPLY,3/28/14,"2 - Auto, Restaurant, Retail",34.99036574,-85.2895074,0.864705882
FURNISHING AND DECOR,1/4/19,"2 - Auto, Restaurant, Retail",34.99040322,-85.31917685,0.997860963
ANDERSON MACHINE COMPANY INC,8/5/93,"2 - Auto, Restaurant, Retail",34.99048361,-85.28720883,0.288693659
LANCE UHDE,7/26/17,"3 - Service, Misc",34.99049813,-85.27718134,0.957601222
BLK BOOKS,10/29/04,"3 - Service, Misc",34.99053318,-85.2760814,0.602139037
"LOOKOUT AUTOMOTIVE AND OFFROAD, LLC",1/7/19,"3 - Service, Misc, Short Term Rental",34.99056031,-85.38897066,0.998090145
ALTARA TENNESSEE LLC,6/1/12,"3 - Service, Misc",34.99057387,-85.15601209,0.813903743
PARKER TECH INNOVATIONS,1/4/04,"3 - Service, Misc",34.99057387,-85.15601209,0.579297173
SOUTHERN BENEFIT SOLUTIONS,1/1/14,"3 - Service, Misc",34.99057985,-85.14159946,0.858135982
SILK ART CO,1/1/15,"2 - Auto, Restaurant, Retail",34.99057991,-85.14371603,0.886019862
CRAFTS BY SIMBA,11/1/13,"2 - Auto, Restaurant, Retail",34.99061083,-85.15234683,0.853475936
HOT & COLD CLINIC,12/7/10,4 - Contractor,34.990618,-85.15085537,0.77249809
MUSTARD SEED LANDSCAPING LLC,1/1/12,4 - Contractor,34.99064517,-85.32751501,0.802291826
MUSTARD SEED LANDSCAPING,12/11/07,4 - Contractor,34.99064517,-85.32751501,0.68907563
"STARLIFTER SUPPORT SOLUTIONS, LLC",1/1/15,"3 - Service, Misc",34.99065099,-85.15767265,0.886019862
RON'S CLEANING SERVICE,8/22/11,"3 - Service, Misc",34.99066604,-85.2929053,0.792207792
HOLQUIST CONTRACTORS LLC,9/20/10,4 - Contractor,34.99070209,-85.15369165,0.766539343
ACE LOCK & KEY INC,1/1/94,"3 - Service, Misc",34.99074481,-85.28658967,0.300076394
THIRD LOBBY,9/9/10,"3 - Service, Misc",34.99079939,-85.32626861,0.765699007
SUNSHINE FOOD MART,6/1/11,"1 - Gas, Grocery, Building Materials",34.99081259,-85.28945187,0.785943468
ROSSVILLE CONVENIENCE & GAS,3/25/10,"1 - Gas, Grocery, Building Materials",34.99081259,-85.28945187,0.752864782
CHEVRON FOOD MART,7/3/01,"1 - Gas, Grocery, Building Materials",34.99081259,-85.28945187,0.509396486
K & K TIRE SUPPLY,5/28/09,"2 - Auto, Restaurant, Retail",34.99088184,-85.27990041,0.72987013
LATOYA J'S CLEANING & ENHANCEMENT,7/1/10,"3 - Service, Misc",34.99088268,-85.1569662,0.760351413
AMERICAN CLASSIC STEEL & AUTO BODY,7/14/15,"3 - Service, Misc",34.99088929,-85.38889957,0.900840336
SHARP'S SERVICE CTR INC,3/27/03,"3 - Service, Misc",34.99088929,-85.38889957,0.557677617
DREAM TEAM PAINTING LLC,6/4/18,4 - Contractor,34.99093617,-85.33264638,0.981512605
TRES CAFE,8/28/14,"2 - Auto, Restaurant, Retail",34.99093617,-85.33264638,0.876394194
NATURAL INSTINTS SENIOR CAR CO,8/13/18,"3 - Service, Misc, Short Term Rental",34.99096341,-85.28720166,0.986860199
CHUBBS AFFORDABLE DETAILING,3/15/17,"3 - Service, Misc",34.99096341,-85.28720166,0.947440794
JB'S UNLIMITED TRAVEL & TRANSPORT SERVICES INC,3/1/17,"3 - Service, Misc",34.99096341,-85.28720166,0.946371276
CHUBB'S AFFORDABLE DETAILING INC,3/8/15,"3 - Service, Misc",34.99096341,-85.28720166,0.891061879
LOCAL QUILL,1/1/14,"3 - Service, Misc",34.99101727,-85.32977345,0.858135982
CHATTANOOGA BREW TOURS LLC,4/22/13,"3 - Service, Misc",34.99101727,-85.32977345,0.838731856
FOREVERGREEN LIVING HISTORY PROJECT,2/20/13,"3 - Service, Misc",34.99101727,-85.32977345,0.834071811
MORTON ENTERPRISE,1/1/16,"3 - Service, Misc",34.99103819,-85.14007826,0.913903743
"PLANT PARTS & EQUIPMENT, INC.",2/13/16,"2 - Auto, Restaurant, Retail",34.99111569,-85.14274065,0.917188694
MOBIL CANDELARIA,2/13/16,"2 - Auto, Restaurant, Retail",34.99115595,-85.28629124,0.917188694
SCENIC CITY GLASS INC,10/16/09,4 - Contractor,34.99115595,-85.28629124,0.740641711
TALLER DE MECHANICA VARGAS,2/20/00,"3 - Service, Misc",34.99115595,-85.28629124,0.471275783
"WINGRIDER, LLC",5/15/18,"3 - Service, Misc, Short Term Rental",34.99120034,-85.29588416,0.979984721
VIENNA'S EATERY,8/1/16,"2 - Auto, Restaurant, Retail",34.99120034,-85.29588416,0.930175707
BAZAAR PHOTOBOOTH,12/15/12,"3 - Service, Misc",34.99120141,-85.33131294,0.8289534
THE GREEN DOOR,3/1/17,5 - Short Term Rental,34.99124066,-85.32922521,0.946371276
MCDONALD'S,5/29/15,"2 - Auto, Restaurant, Retail",34.99125995,-85.28943646,0.897326203
MCDONALD'S,12/1/10,"2 - Auto, Restaurant, Retail",34.99125995,-85.28943646,0.772039725
CJ'S AUTOMOTIVE LLC,1/9/08,"2 - Auto, Restaurant, Retail",34.99130042,-85.29904947,0.691291062
CMD PLUMBING & BACKFLOW,4/23/10,4 - Contractor,34.99131438,-85.2836174,0.755080214
CALVIN'S HOME FIXOLOGY,10/1/15,"3 - Service, Misc",34.99133957,-85.13757618,0.906875477
BOULEVARD BARBER SHOP,3/1/12,"3 - Service, Misc",34.99139068,-85.29041375,0.806875477
FRANK'S BARBER SHOP,3/10/94,"3 - Service, Misc",34.99139068,-85.29041375,0.305271199
B & R MANSONRY,4/1/14,4 - Contractor,34.9914238,-85.28223329,0.865011459
BW CONSTRUCTION AND REMODELING,4/27/12,4 - Contractor,34.99144909,-85.14270555,0.811229947
GATHER,7/2/14,"3 - Service, Misc",34.99147315,-85.32596574,0.872039725
"BIG RED POWERSPORTS, LLC",12/1/03,"2 - Auto, Restaurant, Retail",34.99148894,-85.2945513,0.576699771
JOCK SALE LLC,3/25/12,"3 - Service, Misc",34.99151467,-85.16700056,0.808708938
J & V AUTO REPAIR,1/25/12,"3 - Service, Misc",34.9915673,-85.28599882,0.804125286
HUBB MOTOR CO,5/6/91,"2 - Auto, Restaurant, Retail",34.9915673,-85.28599882,0.225897632
